homo,lumo,gap,mu,alpha
-5.973672165597027,-0.8823540450980207,5.091318120499007,1.6233939250097302,78.57039701605208
-9.632792350855263,-4.59798386928961,5.034808481565653,2.1293864387993784,79.22716324626656
-4.760767233043216,-0.26634181020075154,4.494425422842465,0.46941056891641963,74.99825836643235
-4.243441727639212,1.7818192906020567,6.0252610182412685,1.3002912863287153,68.80221406531236
-12.111889893253503,-6.3503573296480385,5.761532563605464,2.080407306765384,68.2565261431288
-10.34626274330333,-7.068173003277751,3.278089740025578,1.5459201038398158,65.5512089910966
-6.454978365325373,-3.259715088668186,3.195263276657187,2.527133668454236,68.15194110843268
-7.663390367729816,-1.6432974412316623,6.020092926498154,0.3968536492691572,69.50725167328405
-6.848568301731221,-2.5155425581562003,4.33302574357502,0.31699876243770686,31.911556685452382
-9.124101953077572,-3.270873818682724,5.853228134394848,2.0387805616359023,44.19505708111523
-4.409884994681763,2.094907082546257,6.50479207722802,2.1060650504529423,39.42156751035915
-4.6863692528268714,-0.9733095548157524,3.713059698011119,1.3647249952177167,82.14290015308018
-6.623171227638273,-3.1013864700969926,3.52178475754128,1.780276080032007,93.08200207167226
-3.735468862071007,3.9849926520455603,7.720461514116567,2.0216448843419847,16.6190415917565
-5.530691628424268,0.38992503175096527,5.9206166601752335,0.9302957559037776,91.29629223743322
-9.141105092450095,-4.2692313527000465,4.871873739750049,1.0052061374654906,61.73442747063059
-5.799427491401749,-1.6278388530586758,4.171588638343073,1.6328083254390455,80.25439638317404
-9.412103800419823,-4.6643143062176,4.747789494202223,2.132862271925604,70.12934309169793
-4.412463747100729,-0.5900407504464149,3.8224229966543137,0.6838301515494107,88.80790107199842
-6.938705393421132,-0.2944812917186965,6.644224101702435,1.3614366576454864,64.19484866714993
-7.305886371937551,-2.920430688999703,4.385455682937848,1.329034357806893,32.73091082374167
-8.655754620459343,-1.725644265769935,6.930110354689408,1.792571373529935,57.8865023245358
-3.4761438616805496,1.4210524489479663,4.897196310628516,1.493911140993816,70.31312092213612
